milestone,code,sub_code,detailed_explanation
start,start,gluey_test,Only in test environement. Event which is created in Gluey's test environment each time a label is printed in order to test webhook connectivity for tracking.
start,order_created,acknowledged_by_carrier,The carrier has sent a tracking event acknowledging that the shipment / parcel has been successfully created in their system.
start,order_created,shipping_label,A shipping label has been created for the parcel by the carrier.
start,order_created,locker_pin,A pin code for a parcel locker has been created indicating where a customer can drop off / collect their parcel.
start,order_created,qrcode,A qr code has been generated that the customer can use for a paperless return.
start,order_created,customer_notification,The customer have been notified that the shipment / parcel have been created and is on its way.
start,order_cancelled,other,The shipment / parcel / label have been cancelled
collection,pick_pack,completed,The 3PL have completed the pick and pack in the warehouse
collection,despatch,carrier_notified,The 3PL have sent despatch advice to a carrier
collection,scheduled,pickup_requested,A pickup has been requested with the carrier and we are awaiting their confirmation to accept the requested date and time. Alternatively should a specific date and time not have been requested then we are awaiting for the date and time to be communicated by the carrier.
collection,scheduled,with_specific_time,The shipment / parcel is scheduled by the carrier to be picked up on a specific date and time.
collection,scheduled,without_specific_time,The shipment / parcel is scheduled by the carrier to be picked up - but they have not given a specific date and time (e.g. they might have given a date range / day range like Mon-Wed).
collection,attempt,other,The carrier have sent a tracking event indicating a collection attempt was made for the shipment / parcel.
collection,change,cancelled,The collection has been cancelled
collection,change,date,The collection date has been changed
collection,vehicle,dispatch,The carrier have dispatched a vehicle to collect the shipment / parcel.
collection,vehicle,en_route,The dispatched vehicle is enroute to the pickup location.
collection,dropped_by_customer,other,"The carrier has sent a tracking event acknowledging that the customer have dropped the shipment / parcel with them but without sufficient detail to determine what sub_event category it fits."
collection,dropped_by_customer,at_pudo,"The parcel is ready for pickup at a drop-off location, i.e. the parcel have been left by the customer at a PUDO location."
collection,dropped_by_customer,at_parcel_locker,"The parcel is ready for pickup at a parcel locker, i.e. the parcel have been left by the customer at a parcel locker."
collection,dropped_by_customer,at_post_office,"The parcel is ready for pickup at the post office, i.e. the parcel have been left by the customer at a local post office."
collection,collected,other,The shipment / parcel has been collected but without sufficient detail to determine what sub_event category it fits.
collection,collected,from_sender,"The shipment / parcel has been collected from the sender, e.g. from the retailer or 3PLs warehouse."
collection,collected,from_pudo,The shipment / parcel has been picked up from a drop-off location.
collection,collected,from_parcel_locker,The shipment / parcel has been picked up from a parcel locker.
collection,collected,from_post_office,The shipment / parcel has been picked up from a post office.
collection,collected,from_customer,The shipment / parcel has been picked up directly from the customer.
in_transit,carrier,other,The carrier have sent a tracking event indicating the shipment / parcel is in transit.
in_transit,arrived_at_carrier_facility,other,The carrier have sent a tracking event indicating the parcel have arrived at one of the carriers facilities but without sufficient detail to determine what sub_event category it fits.
in_transit,arrived_at_carrier_facility,sortation_hub,The shipment / parcel has arrived at one of the carriers sortation hubs / regional distribution centres. This is typically a larger sortation centre where parcels gets sorted to be hauled to a smaller local depot before the final mile.
in_transit,arrived_at_carrier_facility,cross_docking_hub,The shipment / parcel has arrived at a cross-docking hub to be reloaded onto a new vehicle.
in_transit,arrived_at_carrier_facility,local_depot,The shipment / parcel has arrived at a smaller local depot. This is typically a facility without sortation where goods gets loaded onto smaller vehicles for final mile delivery.
in_transit,processed_at_carrier_facility,other,The carrier have sent a tracking event indicating the parcel have been processed at one of the carriers facilities but without sufficient detail to determine what sub_event category it fits.
in_transit,processed_at_carrier_facility,sortation_hub,The shipment / parcel have been processed at the facility
in_transit,processed_at_carrier_facility,cross_docking_hub,The shipment / parcel have been processed at the facility
in_transit,processed_at_carrier_facility,local_depot,The shipment / parcel have been processed at the facility
in_transit,departed_carrier_facility,other,The carrier have sent a tracking event indicating the shipment / parcel have departed one of the carriers facilities but without sufficient detail to determine what sub_event category it fits.
in_transit,departed_carrier_facility,sortation_hub,The shipment / parcel have departed from the sortation facility
in_transit,departed_carrier_facility,cross_docking_hub,The shipment / parcel have departed from the cross-docking hub
in_transit,airport,en_route,The shipment / parcel is enroute to an airport for a domestic flight.
in_transit,airport,take_off,The shipment / parcel have taken off on a domestic flight.
in_transit,airport,landing,The shipment / parcel have landed on a domestic airport.
