milestone,event,sub_event,detailed_explanation
order,created,gluey_test,Only available in test environement. Event which is created in Gluey's test environment each time a label is printed in order to test webhook connectivity for tracking.
order,created,,The carrier has sent a tracking event acknowledging that the shipment / parcel has been successfully created in their system.
order,cancelled,,The carrier has sent a tracking event acknowledging that the shipment / parcel has been cancelled in their system.
order,pick_pack,started,The 3PL have started the pick and pack in the warehouse.
order,pick_pack,completed,The 3PL have completed the pick and pack in the warehouse.
order,despatched,,The 3PL have sent despatch advice to a carrier.
collection,requested,,A pickup has been requested with the carrier and we are awaiting their confirmation to accept the requested date and time. Alternatively should a specific date and time not have been requested then we are awaiting for the date and time to be communicated by the carrier.
collection,scheduled,,A pickup has been scheduled for the shipment / parcel.
collection,cancelled,,The carrier has sent a tracking event acknowledging that the collection has been cancelled.
collection,change,,The carrier has sent a tracking event acknowledging that the collection has been changed.
collection,change,date,The collection date has been changed
collection,vehicle,dispatch,The carrier have dispatched a vehicle to collect the shipment / parcel.
collection,vehicle,en_route,The dispatched vehicle is enroute to the pickup location.
collection,attempt,,The carrier have sent a tracking event indicating a collection attempt was made for the shipment / parcel.
collection,attempt,refused_by_sender,The carrier have sent a tracking event indicating a collection attempt was made for the shipment / parcel but the sender refused to hand over the parcel.
collection,attempt,refused_by_carrier,The carrier refused to collect the parcel.
collection,attempt,sender_missing_information,The carrier was unable to collect the parcel because the sender was missing some information.
collection,attempt,unable_to_reach_contact,The carrier was unable to collect becasue they could not reach the contact person at the collection address.
collection,attempt,unable_to_access_location,The carrier was unable to collect the parcel because they could not access the location.
collection,attempt,goods_not_ready,The carrier was unable to collect the parcel because the goods were not ready.
collection,dropped_by_customer,,"The parcel was dropped by the customer to a location designated by the carrier."
collection,dropped_by_customer,at_depot,"The parcel was dropped by the customer at the carriers depot."
collection,dropped_by_customer,at_pudo,"The parcel is ready for pickup at a drop-off location, i.e. the parcel have been left by the customer at a PUDO location."
collection,dropped_by_customer,at_parcel_locker,"The parcel is ready for pickup at a parcel locker, i.e. the parcel have been left by the customer at a parcel locker."
collection,collected,,The shipment / parcel has been collected by the carrier.
collection,collected,from_pudo,The shipment / parcel has been picked up from a drop-off location.
collection,collected,from_parcel_locker,The shipment / parcel has been picked up from a parcel locker.
in_transit,en_route_to_carrier_facility,,The parcel is collected and enroute to the carrier facility.
in_transit,arrived_at_carrier_facility,,The carrier have sent a tracking event indicating the parcel have arrived at one of the carriers facilities.
in_transit,processed_at_carrier_facility,,The carrier have sent a tracking event indicating the parcel have been processed at one of the carriers facilities.
in_transit,processed_at_carrier_facility,assigned_to_delivery_vehicle,The shipment / parcel have been processed and assigned to a vehicle for delivery.
in_transit,processed_at_carrier_facility,parcel_consolidated,The shipment / parcel have been consolidated with other parcels at the facility.
in_transit,processed_at_carrier_facility,parcel_repaired,The parcel broke down and was repaired by the carrier.
in_transit,processed_at_carrier_facility,label_reprinted,The parcel label has been reprinted
in_transit,departed_carrier_facility,,The carrier have sent a tracking event indicating the shipment / parcel have departed one of the carriers facilities.
in_transit,carrier_network,,The carrier have sent a tracking event indicating the shipment / parcel is in transit in their network.
in_transit,carrier_network,handed_to_another_carrier,The carrier have sent a tracking event indicating they have handed over the parcel to another carrier.
in_transit,airport,en_route,The shipment / parcel is enroute to an airport for a domestic flight.
in_transit,airport,take_off,The shipment / parcel have taken off on a domestic flight.
in_transit,airport,landing,The shipment / parcel have landed on a domestic airport.
return_centre,arrived,,The shipment / parcel have arrived at the returns processing centre
return_centre,inspection_started,,The inspection of the return shipment / parcel have started.
return_centre,inspection_approved,,The return shipment / parcel have been inspected and approved by the return centre.
return_centre,inspection_failed,items_missing,The return shipment / parcel has been inspected and items are missing that should have been included in the parcel.
return_centre,inspection_failed,items_damaged,The return shipment / parcel has been inspected and items included in the parcel are damaged.
return_centre,inspection_failed,wrong_items,"The return shipment / parcel has been inspected and the wrong items from the original order were returned, i.e. the customer registered a return for one item but returned another."
return_centre,inspection_failed,empty_parcel,The return shipment / parcel has been inspected and there are no items at all in it.
